id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
339979,MY-0007,heliport,"TLDM Tanjung Gelang Heliport",3.96909,103.43113,,AS,Malaysia,MY,Pahang,MY-06,06,Kuantan,0,,,,,,,,0,2021-01-21T16:11:32+00:00
340521,MY-0008,heliport,"Limbang Heliport",4.758474,115.009884,,AS,Malaysia,MY,Sarawak,MY-13,13,Limbang,0,,,,,,,,0,2021-02-01T16:59:51+00:00
41329,WMLH,heliport,"TLDM Lumut Heliport",4.233307,100.616276,15,AS,Malaysia,MY,Perak,MY-08,08,Lumut,0,WMLH,,,,,,,0,2021-01-21T16:09:58+00:00
339978,MY-0006,heliport,"KD Malaya Heliport",4.23302,100.61787,,AS,Malaysia,MY,Perak,MY-08,08,Lumut,0,,,,,,,,0,2021-01-21T16:09:18+00:00
504737,MY-0042,heliport,"Station Lima Helipad",7.37375,113.84672,,AS,Malaysia,MY,Sabah,MY-12,12,"Pulau Layang-Layang (Swallow Reef)",0,,,,,,,,0,2022-11-08T04:32:48+00:00
504746,MY-0045,heliport,"Putrajaya International Convention Centre Heliport",2.893768,101.679261,187,AS,Malaysia,MY,"Putrajaya (Federal Territory)",MY-16,16,Putrajaya,0,,,,,,,,0,2022-11-08T11:11:14+00:00
356346,MY-0038,heliport,"Saratok Hospital Heliport",1.74693,111.34072,,AS,Malaysia,MY,Sarawak,MY-13,13,Saratok,0,,,,,,,,0,2022-08-26T09:57:22+00:00
356344,MY-0036,heliport,"Sarikei Hospital Heliport",2.13516,111.49218,,AS,Malaysia,MY,Sarawak,MY-13,13,Sarikei,0,,,,,,,,0,2022-08-26T09:52:22+00:00
354859,MY-0013,heliport,"Sepang F1 Circuit Helipad",2.761501,101.739817,,AS,Malaysia,MY,Selangor,MY-10,10,Sepang,0,,,,,,,,0,2022-06-09T14:33:53+00:00
354861,MY-0014,heliport,"Pit Lane Exit Helipad",2.760815,101.734392,,AS,Malaysia,MY,Selangor,MY-10,10,Sepang,0,,,,,,,,0,2022-06-09T14:37:10+00:00
354862,MY-0029,heliport,"Sepang F1 North Helipad",2.763797,101.73718,,AS,Malaysia,MY,Selangor,MY-10,10,Sepang,0,,,,,,,,0,2022-06-09T14:43:33+00:00
354863,MY-0030,heliport,"Sepang F1 Parking A Helipad",2.758894,101.728113,,AS,Malaysia,MY,Selangor,MY-10,10,Sepang,0,,,,,,,,0,2022-06-09T15:02:59+00:00
354864,MY-0031,heliport,"KLATCC Heliport",2.764049,101.701175,,AS,Malaysia,MY,Selangor,MY-10,10,Sepang,0,,,,,,,,0,2022-06-09T15:13:08+00:00
356345,MY-0037,heliport,"Sibu Hospital Heliport",2.29754,111.88918,,AS,Malaysia,MY,Sarawak,MY-13,13,Sibu,0,,,,,,,,0,2022-08-26T09:56:06+00:00
339977,MY-0005,heliport,"KD Sultan Ismail Heliport",1.372145,104.093959,,AS,Malaysia,MY,Johor,MY-01,01,"Tanjung Pengelih",0,,,,,,,,0,2021-01-21T16:07:47+00:00
339976,MY-0004,heliport,"Sultan Ahmad Haji Shah Hospital Helipad",3.45361,102.45338,,AS,Malaysia,MY,Pahang,MY-06,06,Temerloh,0,,,,,,,,0,2021-01-21T15:59:39+00:00
314657,MY-0002,heliport,"Station Mike Helipad",7.966962,113.916362,,AS,Malaysia,MY,Sabah,MY-12,12,"Terumbu Mantanani (Mariveles Reef)",0,,,,,,,,0,2022-11-08T04:28:29+00:00
314656,MY-0001,heliport,"Station Papa Helipad",8.11853,114.577985,,AS,Malaysia,MY,Sabah,MY-12,12,"Terumbu Peninjau (Investigator Shoal)",0,,,,,,,,0,2022-11-08T04:31:13+00:00
504738,MY-0043,heliport,"Station Sierra Helipad",8.1025,114.13812,,AS,Malaysia,MY,Sabah,MY-12,12,"Terumbu Siput (Erica Reef)",0,,,,,,,,0,2022-11-08T04:34:02+00:00
354339,MY-0010,heliport,"Station Uniform Helipad",7.60642,113.930363,,AS,Malaysia,MY,Sabah,MY-12,12,"Terumbu Ubi (Ardasier Reef)",0,,,,,,"https://en.wikipedia.org/wiki/en:Ardasier Reef",,0,2022-11-08T04:29:12+00:00
